"","year_of_death","age_group","count","gender"
"1","2009","all_ages","394","female"
"2","2009","0-4","0","female"
"3","2009","5-9","0","female"
"4","2009","10-14","0","female"
"5","2009","15-19","0","female"
"6","2009","20-24","1","female"
"7","2009","25-29","5","female"
"8","2009","30-34","10","female"
"9","2009","35-39","21","female"
"10","2009","40-44","38","female"
"11","2009","45-49","45","female"
"12","2009","50-54","69","female"
"13","2009","55-59","59","female"
"14","2009","60-64","63","female"
"15","2009","65-69","36","female"
"16","2009","70-74","31","female"
"17","2009","75-79","10","female"
"18","2009","80-84","3","female"
"19","2009","85-89","3","female"
"20","2009","90+","0","female"
"21","2009","average_age","55.6","female"
"22","2010","all_ages","355","female"
"23","2010","0-4","0","female"
"24","2010","5-9","0","female"
"25","2010","10-14","0","female"
"26","2010","15-19","1","female"
"27","2010","20-24","1","female"
"28","2010","25-29","3","female"
"29","2010","30-34","9","female"
"30","2010","35-39","21","female"
"31","2010","40-44","34","female"
"32","2010","45-49","51","female"
"33","2010","50-54","64","female"
"34","2010","55-59","54","female"
"35","2010","60-64","52","female"
"36","2010","65-69","41","female"
"37","2010","70-74","11","female"
"38","2010","75-79","9","female"
"39","2010","80-84","3","female"
"40","2010","85-89","0","female"
"41","2010","90+","1","female"
"42","2010","average_age","54.6","female"
"43","2011","all_ages","376","female"
"44","2011","0-4","0","female"
"45","2011","5-9","0","female"
"46","2011","10-14","0","female"
"47","2011","15-19","0","female"
"48","2011","20-24","2","female"
"49","2011","25-29","6","female"
"50","2011","30-34","7","female"
"51","2011","35-39","28","female"
"52","2011","40-44","39","female"
"53","2011","45-49","43","female"
"54","2011","50-54","61","female"
"55","2011","55-59","59","female"
"56","2011","60-64","52","female"
"57","2011","65-69","41","female"
"58","2011","70-74","23","female"
"59","2011","75-79","10","female"
"60","2011","80-84","2","female"
"61","2011","85-89","2","female"
"62","2011","90+","1","female"
"63","2011","average_age","55.1","female"
"64","2012","all_ages","298","female"
"65","2012","0-4","0","female"
"66","2012","5-9","0","female"
"67","2012","10-14","0","female"
"68","2012","15-19","0","female"
"69","2012","20-24","0","female"
"70","2012","25-29","1","female"
"71","2012","30-34","10","female"
"72","2012","35-39","14","female"
"73","2012","40-44","27","female"
"74","2012","45-49","40","female"
"75","2012","50-54","43","female"
"76","2012","55-59","50","female"
"77","2012","60-64","45","female"
"78","2012","65-69","34","female"
"79","2012","70-74","21","female"
"80","2012","75-79","7","female"
"81","2012","80-84","1","female"
"82","2012","85-89","4","female"
"83","2012","90+","1","female"
"84","2012","average_age","56.3","female"
"85","2013","all_ages","308","female"
"86","2013","0-4","0","female"
"87","2013","5-9","0","female"
"88","2013","10-14","0","female"
"89","2013","15-19","0","female"
"90","2013","20-24","1","female"
"91","2013","25-29","2","female"
"92","2013","30-34","10","female"
"93","2013","35-39","15","female"
"94","2013","40-44","30","female"
"95","2013","45-49","40","female"
"96","2013","50-54","53","female"
"97","2013","55-59","54","female"
"98","2013","60-64","41","female"
"99","2013","65-69","35","female"
