la_name,band,rank,la_code,count
Aberdeen City,decile,1,S12000033,5
Aberdeen City,decile,2,S12000033,24
Aberdeen City,decile,3,S12000033,30
Aberdeen City,decile,4,S12000033,35
Aberdeen City,decile,5,S12000033,18
Aberdeen City,decile,6,S12000033,26
Aberdeen City,decile,7,S12000033,16
Aberdeen City,decile,8,S12000033,25
Aberdeen City,decile,9,S12000033,34
Aberdeen City,decile,10,S12000033,70
Aberdeen City,quintile,1,S12000033,29
Aberdeen City,quintile,2,S12000033,65
Aberdeen City,quintile,3,S12000033,44
Aberdeen City,quintile,4,S12000033,41
Aberdeen City,quintile,5,S12000033,104
Aberdeen City,vigintile,1,S12000033,1
Aberdeen City,vigintile,2,S12000033,4
Aberdeen City,vigintile,3,S12000033,9
Aberdeen City,vigintile,4,S12000033,15
Aberdeen City,vigintile,5,S12000033,18
Aberdeen City,vigintile,6,S12000033,12
Aberdeen City,vigintile,7,S12000033,17
Aberdeen City,vigintile,8,S12000033,18
Aberdeen City,vigintile,9,S12000033,9
Aberdeen City,vigintile,10,S12000033,9
Aberdeen City,vigintile,11,S12000033,14
Aberdeen City,vigintile,12,S12000033,12
Aberdeen City,vigintile,13,S12000033,5
Aberdeen City,vigintile,14,S12000033,11
Aberdeen City,vigintile,15,S12000033,6
Aberdeen City,vigintile,16,S12000033,19
Aberdeen City,vigintile,17,S12000033,12
Aberdeen City,vigintile,18,S12000033,22
Aberdeen City,vigintile,19,S12000033,28
Aberdeen City,vigintile,20,S12000033,42
Aberdeenshire,decile,1,S12000034,2
Aberdeenshire,decile,2,S12000034,7
Aberdeenshire,decile,3,S12000034,8
Aberdeenshire,decile,4,S12000034,22
Aberdeenshire,decile,5,S12000034,29
Aberdeenshire,decile,6,S12000034,49
Aberdeenshire,decile,7,S12000034,49
Aberdeenshire,decile,8,S12000034,75
Aberdeenshire,decile,9,S12000034,61
Aberdeenshire,decile,10,S12000034,38
Aberdeenshire,quintile,1,S12000034,9
Aberdeenshire,quintile,2,S12000034,30
Aberdeenshire,quintile,3,S12000034,78
Aberdeenshire,quintile,4,S12000034,124
Aberdeenshire,quintile,5,S12000034,99
Aberdeenshire,vigintile,2,S12000034,2
